,PDB_code,-logKd/Ki,refined,core,split_core,max_tanimoto_schrodinger,max_tanimoto_merck,max_tanimoto_fep_benchmark
0,3zzf,0.4,False,False,train,0.1775700934579439,0.0795454545454545,0.2098765432098765
1,3gww,0.45,False,False,train,0.3442622950819672,0.2751677852348993,0.375
2,1w8l,0.49,False,False,train,0.1393442622950819,0.1171171171171171,0.1650485436893204
3,3fqa,0.49,False,False,train,0.2987012987012987,0.1630434782608695,0.2987012987012987
4,6h9v,0.66,False,False,train,0.044776119402985,0.0661157024793388,0.1313868613138686
5,4obv,0.75,False,False,train,0.2542372881355932,0.1844660194174757,0.2592592592592592
6,1wkm,0.82,False,False,train,0.0884955752212389,0.0769230769230769,0.1012658227848101
7,3k41,0.82,False,False,train,0.0514705882352941,0.0714285714285714,0.1212121212121212
8,4eu3,0.82,False,False,train,0.1568627450980392,0.0602409638554216,0.1568627450980392
9,2w97,0.96,False,False,train,0.0909090909090909,0.0459770114942528,0.0909090909090909
10,1p0y,1.0,False,False,valid,0.0973451327433628,0.0714285714285714,0.0973451327433628
11,2b1r,1.0,False,False,train,0.0444444444444444,0.0613496932515337,0.1381578947368421
12,2d2v,1.0,False,False,train,0.0444444444444444,0.0613496932515337,0.1381578947368421
13,1aw1,1.05,False,False,train,0.15,0.0580645161290322,0.15
14,1maw,1.1,False,False,train,0.0932642487046632,0.0871794871794871,0.1348314606741573
15,3fl9,1.11,False,False,train,0.25,0.24,0.25
16,5eb2,1.11,False,False,train,0.2523364485981308,0.1938775510204081,0.2763157894736842
17,4lh2,1.24,False,False,train,0.1538461538461538,0.0657894736842105,0.1884057971014492
18,4to8,1.24,False,False,train,0.1568627450980392,0.0602409638554216,0.1568627450980392
19,4fci,1.26,False,False,train,0.0990990990990991,0.075,0.131578947368421
20,4fck,1.26,False,False,train,0.0990990990990991,0.075,0.131578947368421
21,4clp,1.27,False,False,train,0.0958083832335329,0.1056338028169014,0.11875
22,1f9g,1.28,False,False,train,0.1037037037037037,0.0776699029126213,0.1037037037037037
23,1a0t,1.3,False,False,train,0.0484848484848484,0.06875,0.14
24,1b74,1.3,False,False,train,0.1149425287356321,0.0617283950617283,0.1558441558441558
25,2fah,1.3,False,False,train,0.1621621621621621,0.0675675675675675,0.1621621621621621
26,5oxm,1.3,False,False,train,0.1451612903225806,0.0601092896174863,0.1451612903225806
27,2igw,1.31,False,False,train,0.2,0.0952380952380952,0.2
28,5mnc,1.31,False,False,train,0.2098765432098765,0.2112676056338028,0.5172413793103449
29,5mny,1.31,False,False,train,0.2098765432098765,0.2112676056338028,0.5172413793103449
30,5moo,1.31,False,False,train,0.2098765432098765,0.2112676056338028,0.5172413793103449
31,2vl1,1.35,False,False,train,0.1354166666666666,0.0705128205128205,0.16
32,3nm6,1.35,False,False,train,0.0614035087719298,0.0490196078431372,0.0681818181818181
33,1qpb,1.36,False,False,train,0.1038961038961039,0.0638297872340425,0.1384615384615384
34,6k2n,1.36,False,False,train,0.0751173708920187,0.0717488789237668,0.1062801932367149
35,1hty,1.4,False,False,train,0.099009900990099,0.0930232558139534,0.1162790697674418
36,1o4l,1.4,False,False,train,0.1568627450980392,0.0602409638554216,0.1568627450980392
37,1o4m,1.4,False,False,train,0.1621621621621621,0.0675675675675675,0.1621621621621621
38,1o4n,1.4,False,False,train,0.1388888888888889,0.0575539568345323,0.1388888888888889
39,2hdq,1.4,False,False,train,0.1625,0.1145833333333333,0.2363636363636363
40,3eor,1.4,False,False,train,0.1111111111111111,0.1076923076923077,0.1171875
41,1ozv,1.44,False,False,train,0.0909090909090909,0.072463768115942,0.0909090909090909
42,1utp,1.44,False,False,train,0.2234042553191489,0.1804511278195488,0.6086956521739131
43,5eb3,1.45,False,False,train,0.1293103448275862,0.1176470588235294,0.1428571428571428
44,1tnk,1.49,False,False,train,0.2333333333333333,0.1785714285714285,0.6666666666666666
45,4bh4,1.49,False,False,train,0.0829493087557603,0.0714285714285714,0.1036036036036036
46,5vqe,1.49,False,False,train,0.0567375886524822,0.0806451612903225,0.1551724137931034
47,4lh3,1.52,False,False,train,0.144578313253012,0.0636942675159235,0.1756756756756756
48,5ct1,1.52,False,False,train,0.1707317073170731,0.1041666666666666,0.1707317073170731
49,5ele,1.52,False,False,train,0.0685920577617328,0.0551724137931034,0.0813559322033898
50,3mwe,1.54,False,False,train,0.119047619047619,0.0529801324503311,0.119047619047619
51,4amw,1.55,False,False,train,0.0633802816901408,0.0884955752212389,0.1094890510948905
52,1iig,1.57,False,False,train,0.1157894736842105,0.0519480519480519,0.1506849315068493
53,3rup,1.57,False,False,train,0.0994475138121546,0.0928961748633879,0.144578313253012
54,5cs5,1.58,False,False,train,0.096551724137931,0.0946745562130177,0.096551724137931
55,5ofv,1.58,False,False,train,0.1764705882352941,0.1720430107526881,0.2698412698412698
56,2b1q,1.59,False,False,train,0.0444444444444444,0.0613496932515337,0.1381578947368421
57,1w8m,1.6,False,False,train,0.1416666666666666,0.1860465116279069,0.1860465116279069
58,3itc,1.6,False,False,train,0.1568627450980392,0.0602409638554216,0.1568627450980392
59,2it4,1.62,False,False,train,0.0909090909090909,0.0428571428571428,0.0925925925925925
60,5k5c,1.62,False,False,train,0.1707317073170731,0.1041666666666666,0.1707317073170731
61,1a7t,1.64,False,False,train,0.1231884057971014,0.1830985915492957,0.1830985915492957
62,4d63,1.64,False,False,train,0.0993377483443708,0.0817610062893081,0.1171171171171171
63,1hgj,1.66,False,False,train,0.1118421052631579,0.0802469135802469,0.1238938053097345
64,1rdj,1.66,False,False,train,0.0378787878787878,0.0655737704918032,0.1271186440677966
65,2o9r,1.68,False,False,train,0.0386740331491712,0.0613496932515337,0.1610738255033557
66,4qsw,1.68,False,False,valid,0.0817610062893081,0.0979020979020979,0.1804511278195488
67,2sfp,1.7,False,False,train,0.119047619047619,0.078125,0.125
68,3gf2,1.7,False,False,train,0.1914893617021276,0.1585365853658536,0.3157894736842105
69,3oay,1.7,False,False,train,0.0486111111111111,0.0695652173913043,0.1056910569105691
70,4tyb,1.7,False,False,train,0.192,0.1769911504424778,0.25
71,6cex,1.7,False,False,train,0.1707317073170731,0.1041666666666666,0.1707317073170731
72,6cf5,1.7,False,False,train,0.1707317073170731,0.1041666666666666,0.1707317073170731
73,3g6m,1.71,False,False,train,0.1478260869565217,0.1063829787234042,0.1478260869565217
74,2hdr,1.72,False,False,train,0.1976744186046511,0.1794871794871795,0.238095238095238
75,3ern,1.72,False,False,train,0.0833333333333333,0.1,0.1409395973154362
76,3vzg,1.72,False,False,train,0.072992700729927,0.073170731707317,0.1544117647058823
77,3zst,1.72,False,False,train,0.0253968253968253,0.0376175548589341,0.0664451827242525
78,5y61,1.72,False,False,train,0.0909090909090909,0.0967741935483871,0.1464968152866242
79,1u2y,1.74,False,False,train,0.0451127819548872,0.0775193798449612,0.134453781512605
80,4qsx,1.74,False,False,train,0.1066666666666666,0.125,0.1272727272727272
81,5y62,1.74,False,False,train,0.0909090909090909,0.0967741935483871,0.1464968152866242
82,5ggj,1.75,False,False,train,0.126865671641791,0.1240875912408759,0.218978102189781
83,5zef,1.75,False,False,train,0.0990990990990991,0.0821917808219178,0.1162790697674418
84,4bgx,1.77,False,False,train,0.0851063829787234,0.0824742268041237,0.1111111111111111
85,3f39,1.78,False,False,train,0.180722891566265,0.2112676056338028,0.5172413793103449
86,5ggl,1.78,False,False,train,0.144927536231884,0.1341463414634146,0.2137931034482758
87,2zgm,1.79,False,False,valid,0.0444444444444444,0.0613496932515337,0.1381578947368421
88,1ga8,1.8,False,False,train,0.0508474576271186,0.0754716981132075,0.14
89,3rxh,1.8,False,False,train,0.0769230769230769,0.0833333333333333,0.1166666666666666
90,1af6,1.82,False,False,train,0.0484848484848484,0.06875,0.14
91,1bra,1.82,False,False,train,0.198019801980198,0.1948051948051948,0.4285714285714285
92,1d5r,1.82,False,False,train,0.119047619047619,0.0529801324503311,0.119047619047619
93,1y1m,1.82,False,False,train,0.1047619047619047,0.125,0.125
94,3eqb,1.82,False,False,train,0.175,0.1818181818181818,0.19375
95,4ahv,1.82,False,False,train,0.1666666666666666,0.1808510638297872,0.2666666666666666
96,1rdn,1.84,False,False,train,0.063063063063063,0.0992907801418439,0.1693548387096774
97,1fd7,1.85,False,False,train,0.261437908496732,0.2122905027932961,0.2738853503184713
98,3khv,1.85,False,False,train,0.1578947368421052,0.1443298969072164,0.2978723404255319
99,1mwt,1.88,False,False,train,0.2583333333333333,0.1515151515151515,0.2705882352941176
100,1tnl,1.88,False,False,train,0.1651376146788991,0.2417582417582417,0.375
101,2ay2,1.88,False,False,train,0.25,0.0970149253731343,0.25
102,4x8s,1.89,False,False,train,0.1666666666666666,0.1578947368421052,0.2413793103448276
103,1f2p,1.9,False,False,train,0.3168316831683168,0.1839080459770115,0.5
104,4mrh,1.9,False,False,train,0.1458333333333333,0.1428571428571428,0.1973684210526315
105,1f2o,1.91,False,False,train,0.1089108910891089,0.1408450704225352,0.1555555555555555
106,1efi,1.92,False,False,train,0.1338582677165354,0.1276595744680851,0.2272727272727272
107,3ehn,1.92,False,False,train,0.0606060606060606,0.0847457627118644,0.1375
108,4bh3,1.92,False,False,train,0.0825688073394495,0.0711297071129707,0.0982142857142857
109,2rjr,1.94,False,False,train,0.176,0.1568627450980392,0.1981132075471698
110,5nn4,1.94,False,False,train,0.1274509803921568,0.0909090909090909,0.1756756756756756
111,4mrf,1.95,False,False,train,0.1652173913043478,0.1442307692307692,0.2307692307692307
112,1tnj,1.96,False,False,train,0.2441860465116279,0.1875,0.631578947368421
113,2gga,1.96,False,False,train,0.11,0.0538461538461538,0.1125
114,5oxn,1.96,False,False,train,0.3217391304347826,0.1553398058252427,0.4193548387096774
115,1wdq,1.98,False,False,valid,0.0636942675159235,0.0679012345679012,0.1456953642384106
116,6h7u,1.98,False,False,train,0.1176470588235294,0.0636942675159235,0.1756756756756756
